Date,"(Average Price)
Rs./1000","Rainfall mm 
Kurunagala","Rainfall mm
Puththalam","Rainfall mm
Colombo",,"(Average Price)
Not rounded"
21/05/2019,"31,400",0.9,2.3,126.9,,"31,400"
28/05/2019,"30,000",0.9,2.3,126.9,,"30,000"
07/06/2019,"30,000",156.4,40.7,257.2,,"30,000"
14/06/2019,"30,000",156.4,40.7,257.2,,"30,000"
21/06/2019,"30,000",156.4,40.7,257.2,,"30,000"
28/06/2019,"30,000",156.4,40.7,257.2,,"30,000"
07/07/2019,"30,000",96.2,2.3,136.1,,"30,000"
14/07/2019,"30,000",96.2,2.3,136.1,,"30,000"
21/07/2019,"30,000",96.2,2.3,136.1,,"30,000"
28/07/2019,"31,000",96.2,2.3,136.1,,"31,000"
07/08/2019,"31,000",137.1,88.3,288.4,,"31,000"
14/08/2019,"31,000",137.1,88.3,288.4,,"31,000"
21/08/2019,"31,000",137.1,88.3,288.4,,"31,000"
28/08/2019,"31,000",137.1,88.3,288.4,,"31,000"
07/09/2019,"29,000",157.3,288.5,609.8,,"29,000"
14/09/2019,"28,000",157.3,288.5,609.8,,"28,000"
21/09/2019,"27,000",157.3,288.5,609.8,,"27,000"
28/09/2019,"28,000",157.3,288.5,609.8,,"28,000"
07/10/2019,"30,000",479.8,576.1,354.9,,"30,000"
14/10/2019,"31,000",479.8,576.1,354.9,,"31,000"
21/10/2019,"32,000",479.8,576.1,354.9,,"32,000"
28/10/2019,"35,000",479.8,576.1,354.9,,"35,000"
07/11/2019,"36,000",322.1,286.1,433.6,,"36,000"
14/11/2019,"36,000",322.1,286.1,433.6,,"36,000"
21/11/2019,"36,000",322.1,286.1,433.6,,"36,000"
28/11/2019,"38,000",322.1,286.1,433.6,,"38,000"
07/12/2019,"39,000",322.1,286.1,433.6,,"39,000"
14/12/2019,"40,000",156.1,198.9,250.3,,"40,000"
21/12/2019,"40,000",156.1,198.9,250.3,,"40,000"
28/12/2019,"40,000",156.1,198.9,250.3,,"40,000"
07/02/2018,"48,000",14.7,37.7,108.8,,"48,000"
14/02/2018,"48,000",14.7,37.7,108.8,,"48,000"
21/02/2018,"48,000",14.7,37.7,108.8,,"48,000"
