Date,Average_Price,Rainfall_Kurunegala,Rainfall_Puttalam,Rainfall_Colombo,Temp_Kurunegala,Temp_Puttalam,Temp_Colombo
7/4/2019,34000.00,145.5,94.3,193.8,0,0,0
14/04/2019,34000.00,145.5,94.3,193.8,0,0,0
21/04/2019,32400.00,145.5,94.3,193.8,0,0,0
28/04/2019,32400.00,145.5,94.3,193.8,0,0,0
7/5/2019,32000.00,0.9,2.3,126.9,0,0,0
14/05/2019,32000.00,0.9,2.3,126.9,0,0,0
21/05/2019,31400.00,0.9,2.3,126.9,0,0,0
28/05/2019,30000.00,0.9,2.3,126.9,0,0,0
7/6/2019,30000.00,156.4,40.7,257.2,0,0,0
14/06/2019,30000.00,156.4,40.7,257.2,0,0,0
21/06/2019,30000.00,156.4,40.7,257.2,0,0,0
28/06/2019,30000.00,156.4,40.7,257.2,0,0,0
7/7/2019,30000.00,96.2,2.3,136.1,0,0,0
14/07/2019,30000.00,96.2,2.3,136.1,0,0,0
21/07/2019,30000.00,96.2,2.3,136.1,0,0,0
28/07/2019,31000.00,96.2,2.3,136.1,0,0,0
7/8/2019,31000.00,137.1,88.3,288.4,0,0,0
14/08/2019,31000.00,137.1,88.3,288.4,0,0,0
21/08/2019,31000.00,137.1,88.3,288.4,0,0,0
28/08/2019,31000.00,137.1,88.3,288.4,0,0,0
7/9/2019,29000.00,157.3,288.5,609.8,0,0,0
14/09/2019,28000.00,157.3,288.5,609.8,0,0,0
21/09/2019,27000.00,157.3,288.5,609.8,0,0,0
28/09/2019,28000.00,157.3,288.5,609.8,0,0,0
7/10/2019,30000.00,479.8,576.1,354.9,0,0,0
14/10/2019,31000.00,479.8,576.1,354.9,0,0,0
21/10/2019,32000.00,479.8,576.1,354.9,0,0,0
28/10/2019,35000.00,479.8,576.1,354.9,0,0,0
7/11/2019,36000.00,322.1,286.1,433.6,0,0,0
14/11/2019,36000.00,322.1,286.1,433.6,0,0,0
21/11/2019,36000.00,322.1,286.1,433.6,0,0,0
28/11/2019,38000.00,322.1,286.1,433.6,0,0,0
7/12/2019,39000.00,322.1,286.1,433.6,0,0,0
14/12/2019,40000.00,156.1,198.9,250.3,0,0,0
21/12/2019,40000.00,156.1,198.9,250.3,0,0,0
28/12/2019,40000.00,156.1,198.9,250.3,0,0,0
7/2/2018,48000.00,14.7,37.7,108.8,0,0,0
14/02/2018,48000.00,14.7,37.7,108.8,0,0,0
21/02/2018,48000.00,14.7,37.7,108.8,0,0,0
28/02/2018,48000.00,14.7,37.7,108.8,0,0,0
7/3/2018,48000.00,148,13.4,68.8,0,0,0
14/03/2018,48000.00,148,13.4,68.8,0,0,0
21/03/2018,46000.00,148,13.4,68.8,0,0,0
28/03/2018,46000.00,148,13.4,68.8,0,0,0
7/4/2018,44000.00,178.9,290.2,265,0,0,0
14/04/2018,44000.00,178.9,290.2,265,0,0,0
21/04/2018,44000.00,178.9,290.2,265,0,0,0
28/04/2018,44000.00,178.9,290.2,265,0,0,0
7/5/2018,42000.00,652.5,390,421.7,0,0,0
14/05/2018,42000.00,652.5,390,421.7,0,0,0
21/05/2018,42000.00,652.5,390,421.7,0,0,0
28/05/2018,42000.00,652.5,390,421.7,0,0,0
7/6/2018,42000.00,159.6,56.7,155.8,0,0,0
14/06/2018,40000.00,159.6,56.7,155.8,0,0,0
21/06/2018,40000.00,159.6,56.7,155.8,0,0,0
28/06/2018,40000.00,159.6,56.7,155.8,0,0,0
7/7/2018,40000.00,44.6,1.1,68.9,0,0,0
14/07/2018,40000.00,44.6,1.1,68.9,0,0,0
21/07/2018,40000.00,44.6,1.1,68.9,0,0,0
28/07/2018,40000.00,44.6,1.1,68.9,0,0,0
7/8/2018,38000.00,70.7,0,63.9,0,0,0
14/08/2018,38000.00,70.7,0,63.9,0,0,0
21/08/2018,38000.00,70.7,0,63.9,0,0,0
28/08/2018,36000.00,70.7,0,63.9,0,0,0
7/9/2018,38000.00,121,17.6,263.7,0,0,0
14/09/2018,38000.00,121,17.6,263.7,0,0,0
21/09/2018,40000.00,121,17.6,263.7,0,0,0
28/09/2018,40000.00,121,17.6,263.7,0,0,0
7/10/2018,39000.00,471.2,320.8,539.7,0,0,0
14/10/2018,39000.00,471.2,320.8,539.7,0,0,0
21/10/2018,37000.00,471.2,320.8,539.7,0,0,0
28/10/2018,37000.00,471.2,320.8,539.7,0,0,0
7/11/2018,37000.00,350.4,205.5,420.7,0,0,0
14/11/2018,37000.00,350.4,205.5,420.7,0,0,0
21/11/2018,37000.00,350.4,205.5,420.7,0,0,0
28/11/2018,37000.00,350.4,205.5,420.7,0,0,0
7/12/2018,36000.00,99.4,74.4,139.5,0,0,0
14/12/2018,36000.00,99.4,74.4,139.5,0,0,0
21/12/2018,36000.00,99.4,74.4,139.5,0,0,0
28/12/2018,36000.00,99.4,74.4,139.5,0,0,0
